"cisp","mes","ano","mes_ano","aisp","risp","munic","mcirc","regiao","hom_doloso","lesao_corp_morte","latrocinio","cvli","hom_por_interv_policial","feminicidio","letalidade_violenta","tentat_hom","tentativa_feminicidio","lesao_corp_dolosa","estupro","hom_culposo","lesao_corp_culposa","roubo_transeunte","roubo_celular","roubo_em_coletivo","roubo_rua","roubo_veiculo","roubo_carga","roubo_comercio","roubo_residencia","roubo_banco","roubo_cx_eletronico","roubo_conducao_saque","roubo_apos_saque","roubo_bicicleta","outros_roubos","total_roubos","furto_veiculos","furto_transeunte","furto_coletivo","furto_celular","furto_bicicleta","outros_furtos","total_furtos","sequestro","extorsao","sequestro_relampago","estelionato","apreensao_drogas","posse_drogas","trafico_drogas","apreensao_drogas_sem_autor","recuperacao_veiculos","apf","aaapai","cmp","cmba","ameaca","pessoas_desaparecidas","encontro_cadaver","encontro_ossada","pol_militares_mortos_serv","pol_civis_mortos_serv","registro_ocorrencias","fase"
"59","1","2024","2024m01","15","3","Duque de Caxias","3301702","Baixada Fluminense","4","0","0","4","0","","4","2","","110","6","2","44","149","73","14","236","82","19","2","0","0","1","1","0","0","25","366","32","37","8","28","0","189","294","0","2","0","172","8","4","3","1","99","37","1","10","1","79","9","2","0","0","0","1551","3"
"60","1","2024","2024m01","15","3","Duque de Caxias","3301702","Baixada Fluminense","11","0","1","12","5","","17","7","","69","7","8","14","46","19","3","68","118","7","5","0","0","0","0","0","0","38","236","23","3","0","5","1","57","89","0","3","0","119","19","1","17","1","38","60","6","18","1","84","6","1","0","0","0","992","3"
"61","1","2024","2024m01","15","3","Duque de Caxias","3301702","Baixada Fluminense","1","0","0","1","0","","1","1","","30","2","1","6","4","1","0","5","5","0","1","0","0","0","0","1","0","1","13","5","2","0","2","2","10","21","0","0","0","41","1","0","1","0","1","3","0","1","0","31","6","0","0","0","0","209","3"
"62","1","2024","2024m01","15","3","Duque de Caxias","3301702","Baixada Fluminense","2","0","0","2","0","","2","1","","61","2","1","9","26","15","3","44","25","4","4","0","0","0","0","0","0","7","84","10","4","0","6","3","24","47","0","4","1","80","5","0","5","0","13","24","1","2","0","49","6","0","0","0","0","442","3"
"59","2","2024","2024m02","15","3","Duque de Caxias","3301702","Baixada Fluminense","4","0","1","5","2","","7","4","","95","4","2","40","119","66","7","192","120","14","2","1","0","0","0","3","0","31","363","27","46","5","29","0","184","291","0","1","1","142","6","3","3","0","117","27","2","12","0","85","13","1","0","0","0","1520","3"
"60","2","2024","2024m02","15","3","Duque de Caxias","3301702","Baixada Fluminense","10","2","0","12","0","","12","11","","68","11","6","44","47","26","6","79","111","19","2","0","0","0","0","0","1","27","239","26","4","1","8","1","52","92","0","1","0","110","7","0","7","0","47","38","4","13","2","61","11","1","0","0","0","915","3"
"61","2","2024","2024m02","15","3","Duque de Caxias","3301702","Baixada Fluminense","1","0","0","1","0","","1","1","","23","3","0","4","4","3","1","8","7","0","0","1","0","0","0","0","0","1","17","5","1","0","1","1","3","11","0","0","0","23","0","0","0","0","9","11","0","0","0","30","3","0","0","0","0","153","3"
"62","2","2024","2024m02","15","3","Duque de Caxias","3301702","Baixada Fluminense","0","0","1","1","0","","1","1","","54","7","0","8","43","12","7","62","28","3","0","0","0","0","0","0","1","8","102","21","0","2","1","2","22","48","0","4","0","75","7","1","5","1","15","21","0","1","0","34","2","1","0","0","0","435","3"
"59","3","2024","2024m03","15","3","Duque de Caxias","3301702","Baixada Fluminense","2","0","0","2","0","","2","6","","109","12","5","57","154","68","14","236","138","26","4","2","0","0","0","5","0","38","449","58","54","12","40","2","202","368","0","2","0","188","10","5","5","0","98","34","0","12","1","118","15","0","0","0","0","1783","3"
"60","3","2024","2024m03","15","3","Duque de Caxias","3301702","Baixada Fluminense","5","0","0","5","0","","5","8","","75","8","10","29","30","15","1","46","97","16","2","0","0","0","0","0","0","41","202","22","4","4","8","0","62","100","0","2","0","108","6","1","5","0","32","59","0","24","0","53","11","0","0","0","0","855","3"
"61","3","2024","2024m03","15","3","Duque de Caxias","3301702","Baixada Fluminense","1","0","0","1","0","","1","0","","12","2","0","4","2","1","0","3","13","1","0","0","0","0","0","0","0","1","18","2","0","2","1","3","14","22","0","1","0","22","4","3","1","0","6","23","1","2","0","21","1","0","0","0","0","197","3"
"62","3","2024","2024m03","15","3","Duque de Caxias","3301702","Baixada Fluminense","6","0","1","7","3","","10","3","","59","2","0","20","28","12","3","43","27","6","2","1","0","0","0","1","0","14","94","10","1","2","9","1","24","47","0","0","0","79","2","0","2","0","14","28","1","8","1","43","6","0","0","0","0","489","3"
"59","4","2024","2024m04","15","3","Duque de Caxias","3301702","Baixada Fluminense","3","0","0","3","0","","3","1","","110","7","3","67","78","59","8","145","117","16","4","2","0","0","0","3","0","29","316","40","64","13","47","0","168","332","0","6","0","188","4","2","2","0","152","41","3","14","0","114","22","0","0","0","0","1673","3"
"60","4","2024","2024m04","15","3","Duque de Caxias","3301702","Baixada Fluminense","4","0","0","4","1","","5","5","","61","7","16","34","35","27","2","64","95","21","2","1","0","0","0","0","0","18","201","38","2","3","4","2","55","104","0","3","0","89","13","3","10","0","44","39","1","11","1","57","13","0","1","0","0","861","3"
"61","4","2024","2024m04","15","3","Duque de Caxias","3301702","Baixada Fluminense","1","0","0","1","0","","1","4","","25","3","1","14","7","1","0","8","9","0","0","1","0","0","0","0","0","1","19","6","0","0","1","2","12","21","0","0","0","29","2","1","1","0","9","11","0","11","0","32","3","1","0","0","0","247","3"
"62","4","2024","2024m04","15","3","Duque de Caxias","3301702","Baixada Fluminense","1","1","0","2","0","","2","0","","59","7","0","14","37","8","0","45","18","4","2","0","0","0","0","0","0","6","75","25","2","1","1","3","22","54","0","3","1","98","5","0","5","0","12","19","0","7","0","51","4","0","0","0","0","495","3"
"59","5","2024","2024m05","15","3","Duque de Caxias","3301702","Baixada Fluminense","4","0","0","4","1","","5","16","","127","13","4","42","101","67","15","183","141","27","1","0","0","0","0","1","0","34","387","49","67","9","40","1","210","376","0","3","0","230","15","4","10","1","141","76","6","17","0","116","9","0","0","0","0","1905","3"
"60","5","2024","2024m05","15","3","Duque de Caxias","3301702","Baixada Fluminense","9","0","0","9","0","","9","14","","80","7","9","39","19","29","6","54","100","14","2","4","0","1","0","0","0","22","197","23","3","1","7","2","55","91","0","1","0","115","15","0","13","2","25","52","3","15","1","63","9","0","0","0","0","874","3"
"61","5","2024","2024m05","15","3","Duque de Caxias","3301702","Baixada Fluminense","2","0","0","2","0","","2","3","","22","1","1","15","3","0","0","3","3","0","1","0","0","0","0","0","0","2","9","3","0","0","6","2","12","23","0","0","0","30","1","1","0","0","8","9","0","1","0","27","1","1","0","0","0","191","3"
"62","5","2024","2024m05","15","3","Duque de Caxias","3301702","Baixada Fluminense","1","0","0","1","0","","1","0","","49","2","0","18","37","13","3","53","43","2","1","2","0","0","0","0","0","4","105","14","1","2","3","0","22","42","0","1","0","60","1","0","1","0","4","6","1","4","0","44","9","1","0","0","0","422","3"
"59","6","2024","2024m06","15","3","Duque de Caxias","3301702","Baixada Fluminense","5","0","1","6","2","","8","6","","146","14","5","60","117","119","19","255","145","24","1","2","0","0","0","4","0","42","473","33","71","15","45","3","182","349","0","6","2","200","14","3","11","0","162","76","11","14","0","128","16","1","0","0","0","1946","3"
"60","6","2024","2024m06","15","3","Duque de Caxias","3301702","Baixada Fluminense","7","0","0","7","5","","12","16","","50","4","3","22","20","24","16","60","120","24","0","0","0","0","0","0","0","16","220","23","4","1","8","3","56","95","0","4","0","129","16","0","16","0","33","49","5","16","1","66","9","1","0","0","0","883","3"
"61","6","2024","2024m06","15","3","Duque de Caxias","3301702","Baixada Fluminense","1","0","0","1","0","","1","2","","25","3","2","6","1","0","0","1","3","2","2","1","0","0","0","0","0","2","11","3","1","0","6","1","15","26","0","0","0","29","1","0","1","0","5","12","0","1","0","27","1","0","0","0","0","178","3"
"62","6","2024","2024m06","15","3","Duque de Caxias","3301702","Baixada Fluminense","0","0","0","0","1","","1","2","","44","3","1","18","33","10","3","46","54","7","3","0","0","0","0","0","0","15","125","16","0","0","3","3","31","53","0","0","2","54","10","1","9","0","7","20","1","9","0","38","5","0","0","0","0","408","3"
"59","7","2024","2024m07","15","3","Duque de Caxias","3301702","Baixada Fluminense","6","0","0","6","8","","14","9","","105","8","3","71","148","80","35","263","119","24","3","0","0","1","0","3","0","29","442","27","53","12","44","0","189","325","0","2","0","207","7","1","5","1","125","53","3","16","1","147","8","0","0","0","0","1800","3"
"60","7","2024","2024m07","15","3","Duque de Caxias","3301702","Baixada Fluminense","10","0","0","10","5","","15","11","","68","9","8","29","24","43","22","89","132","24","3","0","0","0","0","0","0","11","259","28","3","2","10","3","50","96","0","2","0","147","7","1","6","0","25","33","5","10","1","76","10","0","0","0","0","958","3"
"61","7","2024","2024m07","15","3","Duque de Caxias","3301702","Baixada Fluminense","0","0","0","0","0","","0","0","","25","1","1","5","2","2","0","4","8","2","0","0","0","0","0","0","0","2","16","5","2","0","0","1","15","23","0","2","0","30","1","0","0","1","1","5","0","0","0","28","2","1","0","0","0","181","3"
"62","7","2024","2024m07","15","3","Duque de Caxias","3301702","Baixada Fluminense","2","0","0","2","0","","2","8","","41","3","1","9","29","16","7","52","55","9","1","0","0","0","0","0","0","8","125","17","1","0","5","3","19","45","0","2","0","67","4","0","4","0","14","14","0","1","0","39","3","0","0","0","0","440","3"
"59","8","2024","2024m08","15","3","Duque de Caxias","3301702","Baixada Fluminense","2","0","0","2","2","","4","2","","104","9","2","40","98","67","14","179","133","24","5","0","0","0","0","1","0","20","362","35","45","8","50","3","209","350","0","0","0","200","7","1","6","0","165","44","2","9","0","91","14","0","0","0","0","1749","3"
"60","8","2024","2024m08","15","3","Duque de Caxias","3301702","Baixada Fluminense","7","0","0","7","5","","12","13","","59","11","7","28","16","26","6","48","130","54","3","0","0","0","0","0","1","24","260","38","1","2","6","3","48","98","0","2","0","144","14","0","13","1","35","51","3","11","2","68","15","1","0","0","0","1023","3"
"61","8","2024","2024m08","15","3","Duque de Caxias","3301702","Baixada Fluminense","0","0","0","0","0","","0","2","","31","1","0","13","2","0","0","2","7","1","0","0","0","0","0","0","0","2","12","3","1","0","5","3","15","27","0","1","0","35","0","0","0","0","2","15","0","1","0","33","1","1","0","0","0","195","3"
"62","8","2024","2024m08","15","3","Duque de Caxias","3301702","Baixada Fluminense","1","0","0","1","0","","1","6","","48","7","0","21","15","13","3","31","70","7","1","1","0","0","0","1","0","8","119","16","0","0","5","1","20","42","0","3","0","52","2","0","2","0","13","15","1","5","2","45","7","0","0","0","0","413","3"
"59","9","2024","2024m09","15","3","Duque de Caxias","3301702","Baixada Fluminense","3","0","0","3","1","","4","5","","115","7","6","58","116","75","12","203","155","27","3","1","0","0","0","0","0","22","411","49","50","13","39","3","146","300","0","2","0","177","12","5","6","1","173","54","5","14","0","101","11","0","0","0","1","1767","3"
"60","9","2024","2024m09","15","3","Duque de Caxias","3301702","Baixada Fluminense","5","0","0","5","0","","5","9","","79","13","8","39","45","28","15","88","194","41","4","0","0","0","0","1","0","22","350","31","4","3","4","2","47","91","0","0","0","130","14","1","12","1","55","44","10","21","2","73","8","1","0","0","0","1102","3"
"61","9","2024","2024m09","15","3","Duque de Caxias","3301702","Baixada Fluminense","0","0","0","0","0","","0","1","","27","2","1","8","0","2","0","2","12","2","0","0","0","0","0","0","0","2","18","2","1","1","1","1","10","16","0","2","0","20","0","0","0","0","3","9","0","2","0","12","3","1","0","0","0","158","3"
