"cisp","mes","ano","mes_ano","aisp","risp","munic","mcirc","regiao","hom_doloso","lesao_corp_morte","latrocinio","cvli","hom_por_interv_policial","feminicidio","letalidade_violenta","tentat_hom","tentativa_feminicidio","lesao_corp_dolosa","estupro","hom_culposo","lesao_corp_culposa","roubo_transeunte","roubo_celular","roubo_em_coletivo","roubo_rua","roubo_veiculo","roubo_carga","roubo_comercio","roubo_residencia","roubo_banco","roubo_cx_eletronico","roubo_conducao_saque","roubo_apos_saque","roubo_bicicleta","outros_roubos","total_roubos","furto_veiculos","furto_transeunte","furto_coletivo","furto_celular","furto_bicicleta","outros_furtos","total_furtos","sequestro","extorsao","sequestro_relampago","estelionato","apreensao_drogas","posse_drogas","trafico_drogas","apreensao_drogas_sem_autor","recuperacao_veiculos","apf","aaapai","cmp","cmba","ameaca","pessoas_desaparecidas","encontro_cadaver","encontro_ossada","pol_militares_mortos_serv","pol_civis_mortos_serv","registro_ocorrencias","fase"
"62","9","2024","2024m09","15","3","Duque de Caxias","3301702","Baixada Fluminense","1","0","0","1","0","","1","1","","46","7","6","19","12","11","1","24","71","6","4","2","0","0","0","0","0","10","117","20","3","1","2","0","19","45","0","0","0","47","3","0","3","0","29","9","0","3","0","36","4","0","0","0","0","411","3"
"59","10","2024","2024m10","15","3","Duque de Caxias","3301702","Baixada Fluminense","3","0","0","3","3","0","6","2","0","154","14","2","55","135","76","19","230","216","43","4","1","0","0","0","2","0","33","529","62","51","12","41","2","210","378","0","2","0","195","15","4","11","0","178","64","6","15","2","120","16","0","0","0","0","2157","3"
"60","10","2024","2024m10","15","3","Duque de Caxias","3301702","Baixada Fluminense","5","0","0","5","5","0","10","12","0","98","5","5","33","34","23","9","66","182","69","3","1","0","0","0","0","0","26","347","32","1","5","5","5","54","102","0","5","0","151","14","1","12","1","53","67","3","7","0","76","11","1","0","0","0","1146","3"
"61","10","2024","2024m10","15","3","Duque de Caxias","3301702","Baixada Fluminense","4","0","0","4","0","0","4","2","0","16","4","0","6","7","2","2","11","8","2","0","0","0","0","0","0","0","2","23","4","0","0","1","2","15","22","0","0","0","32","0","0","0","0","1","6","0","2","0","16","2","0","0","0","0","173","3"
"62","10","2024","2024m10","15","3","Duque de Caxias","3301702","Baixada Fluminense","4","0","0","4","0","0","4","3","0","54","7","2","12","23","15","5","43","85","9","0","0","0","0","0","0","0","9","146","13","0","1","7","2","20","43","0","3","0","60","2","0","2","0","28","14","2","2","0","47","2","1","0","0","0","498","3"
"59","11","2024","2024m11","15","3","Duque de Caxias","3301702","Baixada Fluminense","2","0","0","2","1","1","4","7","2","142","12","4","53","122","78","22","222","230","33","3","1","0","0","0","1","0","33","523","47","49","4","49","2","165","316","0","4","0","196","15","8","7","0","194","92","7","20","0","107","12","1","0","0","0","1972","3"
"60","11","2024","2024m11","15","3","Duque de Caxias","3301702","Baixada Fluminense","8","1","1","10","0","0","10","11","1","73","5","6","31","51","47","10","108","172","33","2","0","0","0","0","2","0","21","338","20","1","9","10","3","42","85","0","4","0","146","13","0","12","1","44","71","3","19","0","74","7","0","0","0","0","1087","3"
"61","11","2024","2024m11","15","3","Duque de Caxias","3301702","Baixada Fluminense","1","0","0","1","1","0","2","4","0","21","6","0","5","4","3","0","7","4","2","0","0","0","0","0","0","0","3","16","6","2","0","2","0","12","22","0","2","0","26","0","0","0","0","1","10","0","1","0","24","3","0","0","0","0","182","3"
"62","11","2024","2024m11","15","3","Duque de Caxias","3301702","Baixada Fluminense","3","0","0","3","0","1","4","5","2","40","5","0","12","14","12","0","26","69","6","1","0","0","0","0","0","0","4","106","17","3","1","1","1","12","35","0","2","0","39","3","0","3","0","31","14","0","7","0","28","2","1","0","0","0","378","3"
"59","12","2024","2024m12","15","3","Duque de Caxias","3301702","Baixada Fluminense","6","1","0","7","0","0","7","2","2","152","5","1","56","110","74","28","212","174","33","2","5","0","0","0","2","0","29","457","43","58","8","43","1","210","363","0","1","1","224","7","1","6","0","206","53","4","6","1","103","14","0","3","0","0","1912","3"
"60","12","2024","2024m12","15","3","Duque de Caxias","3301702","Baixada Fluminense","7","0","0","7","3","0","10","1","1","102","6","9","28","46","19","11","76","140","28","2","0","0","0","0","0","1","13","260","18","3","4","6","0","47","78","0","2","0","132","7","4","4","0","44","28","3","12","1","70","13","0","0","0","0","970","3"
"61","12","2024","2024m12","15","3","Duque de Caxias","3301702","Baixada Fluminense","0","0","0","0","0","0","0","0","0","17","0","1","2","1","0","0","1","7","0","0","1","0","0","0","0","0","1","10","4","2","0","2","1","10","19","0","0","0","32","0","0","0","0","0","4","0","0","0","24","2","2","0","0","0","145","3"
"62","12","2024","2024m12","15","3","Duque de Caxias","3301702","Baixada Fluminense","2","0","0","2","1","0","3","3","1","50","3","1","15","32","15","5","52","93","10","4","1","0","0","0","1","0","14","175","18","1","1","7","4","28","59","0","2","0","82","7","0","7","0","21","9","3","0","0","33","5","2","0","0","0","541","3"
