"cisp","mes","ano","mes_ano","aisp","risp","munic","mcirc","regiao","hom_doloso","lesao_corp_morte","latrocinio","cvli","hom_por_interv_policial","feminicidio","letalidade_violenta","tentat_hom","tentativa_feminicidio","lesao_corp_dolosa","estupro","hom_culposo","lesao_corp_culposa","roubo_transeunte","roubo_celular","roubo_em_coletivo","roubo_rua","roubo_veiculo","roubo_carga","roubo_comercio","roubo_residencia","roubo_banco","roubo_cx_eletronico","roubo_conducao_saque","roubo_apos_saque","roubo_bicicleta","outros_roubos","total_roubos","furto_veiculos","furto_transeunte","furto_coletivo","furto_celular","furto_bicicleta","outros_furtos","total_furtos","sequestro","extorsao","sequestro_relampago","estelionato","apreensao_drogas","posse_drogas","trafico_drogas","apreensao_drogas_sem_autor","recuperacao_veiculos","apf","aaapai","cmp","cmba","ameaca","pessoas_desaparecidas","encontro_cadaver","encontro_ossada","pol_militares_mortos_serv","pol_civis_mortos_serv","registro_ocorrencias","fase"
"59","1","2025","2025m01","15","3","Duque de Caxias","3301702","Baixada Fluminense","5","0","0","5","1","0","6","7","1","141","9","4","42","133","81","29","243","165","19","7","0","0","0","1","2","3","32","472","46","43","9","38","0","173","309","0","5","0","211","13","0","13","0","198","65","1","17","0","126","17","0","0","0","0","1860","3"
"60","1","2025","2025m01","15","3","Duque de Caxias","3301702","Baixada Fluminense","12","0","0","12","2","1","15","8","1","52","7","4","29","55","20","8","83","125","27","2","0","0","0","0","2","1","23","263","16","4","1","8","1","43","73","0","3","0","139","18","1","16","1","33","63","8","22","3","70","9","0","0","0","0","990","3"
"61","1","2025","2025m01","15","3","Duque de Caxias","3301702","Baixada Fluminense","3","0","0","3","0","0","3","1","0","18","0","0","8","1","4","0","5","16","1","0","0","0","0","0","0","0","1","23","2","0","0","2","3","14","21","0","1","0","36","0","0","0","0","2","5","0","3","0","14","3","0","0","0","0","169","3"
"62","1","2025","2025m01","15","3","Duque de Caxias","3301702","Baixada Fluminense","2","1","0","3","0","0","3","6","0","38","5","2","17","36","5","8","49","65","8","2","0","0","0","0","0","0","17","141","14","3","1","4","2","34","58","0","2","0","71","7","0","7","0","16","21","2","3","1","32","7","0","0","0","0","535","3"
"59","2","2025","2025m02","15","3","Duque de Caxias","3301702","Baixada Fluminense","1","0","0","1","2","0","3","28","2","122","11","2","40","111","94","20","225","169","38","1","3","0","0","0","1","0","24","461","26","35","8","53","1","181","304","0","1","0","184","7","1","6","0","257","56","9","35","1","95","14","0","1","0","1","1975","3"
"60","2","2025","2025m02","15","3","Duque de Caxias","3301702","Baixada Fluminense","14","0","0","14","7","0","21","19","0","65","6","3","25","32","30","4","66","104","25","1","1","0","0","0","0","1","17","215","10","4","3","3","2","48","70","0","2","1","112","20","0","19","1","43","75","5","24","1","65","4","3","0","0","0","922","3"
"61","2","2025","2025m02","15","3","Duque de Caxias","3301702","Baixada Fluminense","0","0","0","0","0","0","0","0","0","19","2","0","10","1","2","0","3","9","3","0","1","0","0","0","0","0","2","18","2","0","0","5","0","11","18","0","1","0","33","2","1","1","0","5","5","0","2","0","31","3","0","0","0","0","184","3"
"62","2","2025","2025m02","15","3","Duque de Caxias","3301702","Baixada Fluminense","2","0","0","2","0","0","2","1","0","38","3","0","17","21","14","2","37","40","0","0","1","0","0","0","0","0","9","87","9","1","0","8","1","27","46","0","3","0","60","7","1","6","0","29","20","3","3","0","39","4","1","0","0","0","408","3"
"59","3","2025","2025m03","15","3","Duque de Caxias","3301702","Baixada Fluminense","4","0","0","4","2","0","6","5","0","138","10","2","56","136","101","7","244","71","36","2","0","0","0","0","0","0","21","374","39","50","6","32","2","204","333","0","1","0","233","7","2","5","0","98","66","12","19","0","113","15","0","0","0","0","1849","3"
"60","3","2025","2025m03","15","3","Duque de Caxias","3301702","Baixada Fluminense","9","0","0","9","2","0","11","5","0","66","4","2","36","30","47","4","81","81","29","1","0","0","0","0","0","0","18","210","21","2","7","7","3","35","75","0","4","0","107","7","3","4","0","18","28","2","15","0","80","10","1","0","0","0","828","3"
"61","3","2025","2025m03","15","3","Duque de Caxias","3301702","Baixada Fluminense","3","0","0","3","0","0","3","3","0","29","2","1","3","2","1","0","3","5","0","0","0","0","0","0","0","0","3","11","1","2","0","1","1","9","14","0","0","0","33","1","0","0","1","5","6","1","5","0","32","1","0","0","0","0","175","3"
"62","3","2025","2025m03","15","3","Duque de Caxias","3301702","Baixada Fluminense","1","0","0","1","0","0","1","2","0","51","7","0","1","19","14","1","34","34","2","0","0","0","0","0","0","0","4","74","18","2","0","4","2","18","44","0","2","0","50","5","1","2","3","8","22","0","2","0","43","8","1","0","0","0","372","3"
